Dataset:  NASDAQ
Radom seed: 1234
GPU: 7
Learning rate: 1e-05
Loss: MaskedMSELoss

---------- Marketformer ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "NASDAQ",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20
    },
    "early_stop": 30,
    "runner": "basic2",
    "loss": "mse",
    "model_args": {
        "d_feat": 5,
        "seq_len": 16,
        "pred_len": 1,
        "n_node": 1026,
        "d_emb": 8,
        "d_model": 64,
        "dff": 256,
        "nheads": 2,
        "num_layers": 2,
        "alpha": 1,
        "dropout": 0.1
    }
}
Epoch 56, train_loss 0.000666, train_ic 0.033471, train_icir 0.364336, train_ric 0.034611, train_ricir 0.343397, valid_loss 0.0005734537 , valid_ic 0.036480, valid_icir 0.333334, valid_ric 0.040688, valid_ricir 0.332572, test_loss 0.000441, ic 0.028063, icir 0.295619, ric 0.042872, ricir 0.374914, prec@10 0.791983, prec@30 0.795359 
Epoch 57, train_loss 0.000634, train_ic 0.037947, train_icir 0.448106, train_ric 0.036387, train_ricir 0.372195, valid_loss 0.0005670796 , valid_ic 0.039003, valid_icir 0.345890, valid_ric 0.040962, valid_ricir 0.326349, test_loss 0.000446, ic 0.024273, icir 0.271207, ric 0.041688, ricir 0.369380, prec@10 0.732489, prec@30 0.718565 
Epoch 58, train_loss 0.000665, train_ic 0.038113, train_icir 0.479411, train_ric 0.036365, train_ricir 0.382449, valid_loss 0.0005709210 , valid_ic 0.038392, valid_icir 0.341356, valid_ric 0.040271, valid_ricir 0.322342, test_loss 0.000463, ic 0.020382, icir 0.235868, ric 0.039706, ricir 0.354378, prec@10 0.677215, prec@30 0.651336 
Epoch 59, train_loss 0.000598, train_ic 0.027816, train_icir 0.305681, train_ric 0.032424, train_ricir 0.327724, valid_loss 0.0005395979 , valid_ic 0.032512, valid_icir 0.307146, valid_ric 0.039620, valid_ricir 0.332311, test_loss 0.000417, ic 0.028521, icir 0.299730, ric 0.043921, ricir 0.378328, prec@10 0.600000, prec@30 0.600703 
Epoch 60, train_loss 0.000646, train_ic 0.008770, train_icir 0.104211, train_ric 0.020656, train_ricir 0.223689, valid_loss 0.0005667563 , valid_ic 0.019217, valid_icir 0.196397, valid_ric 0.030362, valid_ricir 0.278999, test_loss 0.000451, ic 0.023916, icir 0.258330, ric 0.044784, ricir 0.384868, prec@10 0.268354, prec@30 0.271027 
Epoch 61, train_loss 0.000622, train_ic -0.000570, train_icir -0.007367, train_ric 0.013470, train_ricir 0.150731, valid_loss 0.0005723727 , valid_ic 0.010681, valid_icir 0.112558, valid_ric 0.024653, valid_ricir 0.230042, test_loss 0.000464, ic 0.019509, icir 0.222145, ric 0.041078, ricir 0.354492, prec@10 0.300844, prec@30 0.313221 
Epoch 62, train_loss 0.000637, train_ic -0.017881, train_icir -0.257412, train_ric -0.004750, train_ricir -0.054033, valid_loss 0.0009653246 , valid_ic -0.010088, valid_icir -0.102960, valid_ric 0.004744, valid_ricir 0.041675, test_loss 0.000838, ic 0.007234, icir 0.086106, ric 0.024861, ricir 0.217441, prec@10 0.045992, prec@30 0.042616 
Epoch 63, train_loss 0.000631, train_ic 0.035495, train_icir 0.409357, train_ric 0.033748, train_ricir 0.356452, valid_loss 0.0005453678 , valid_ic 0.034794, valid_icir 0.324200, valid_ric 0.038231, valid_ricir 0.326756, test_loss 0.000437, ic 0.026163, icir 0.285427, ric 0.041333, ricir 0.365210, prec@10 0.351477, prec@30 0.329255 
Epoch 64, train_loss 0.000607, train_ic 0.021814, train_icir 0.245640, train_ric 0.028657, train_ricir 0.296008, valid_loss 0.0005399450 , valid_ic 0.027296, valid_icir 0.266967, valid_ric 0.035718, valid_ricir 0.311533, test_loss 0.000418, ic 0.028729, icir 0.307199, ric 0.045835, ricir 0.395996, prec@10 0.697890, prec@30 0.715049 
Epoch 65, train_loss 0.000634, train_ic 0.000811, train_icir 0.010232, train_ric 0.013438, train_ricir 0.148575, valid_loss 0.0005555187 , valid_ic 0.011102, valid_icir 0.116133, valid_ric 0.023779, valid_ricir 0.221129, test_loss 0.000443, ic 0.018782, icir 0.208616, ric 0.039550, ricir 0.338643, prec@10 0.324895, prec@30 0.340225 
