Dataset:  CSI
Radom seed: 1234
GPU: 7
Learning rate: 0.001
Loss: MaskedMSELoss

---------- GRU ----------
{
    "epochs": 200,
    "lookback_length": 16,
    "steps": 1,
    "lr": 0.0001,
    "clip_grad": 3.0,
    "data_args": {
        "dataset": "CSI",
        "batch_size": 1,
        "shuffle_train": true,
        "n_jobs": 20,
        "valid_year": 2019,
        "test_year": 2020,
        "window": 16,
        "steps": 1
    },
    "early_stop": 20,
    "runner": "csi",
    "loss": "mse",
    "model_args": {
        "d_feat": 1,
        "hidden_size": 64,
        "num_layers": 2,
        "dropout": 0.1
    }
}
Epoch 47, train_loss 0.001538, train_ic 0.035269, train_icir 0.438745, train_ric 0.021750, train_ricir 0.159929, valid_loss 0.0017136902 , valid_ic 0.003191, valid_icir 0.088275, valid_ric -0.006693, valid_ricir -0.082010, test_loss 0.003863, ic -0.002058, icir -0.046226, ric 0.009370, ricir 0.100399, prec@10 0.521399, prec@30 0.520988 
Epoch 48, train_loss 0.001542, train_ic 0.012841, train_icir 0.150280, train_ric 0.022581, train_ricir 0.174988, valid_loss 0.0023224538 , valid_ic 0.000696, valid_icir 0.021700, valid_ric 0.021845, valid_ricir 0.224870, test_loss 0.004395, ic -0.003986, icir -0.102343, ric 0.014573, ricir 0.115169, prec@10 0.515226, prec@30 0.505898 
Epoch 49, train_loss 0.001533, train_ic 0.020454, train_icir 0.355238, train_ric 0.028898, train_ricir 0.294525, valid_loss 0.0014759269 , valid_ic -0.001889, valid_icir -0.061835, valid_ric 0.006430, valid_ricir 0.109381, test_loss 0.003591, ic -0.005460, icir -0.127031, ric 0.005445, ricir 0.076103, prec@10 0.526749, prec@30 0.516187 
Epoch 50, train_loss 0.001509, train_ic 0.031064, train_icir 0.388863, train_ric 0.020124, train_ricir 0.158581, valid_loss 0.0015561309 , valid_ic -0.001505, valid_icir -0.040933, valid_ric -0.002723, valid_ricir -0.030368, test_loss 0.003629, ic -0.005503, icir -0.123843, ric 0.004462, ricir 0.039553, prec@10 0.480247, prec@30 0.503567 
Epoch 51, train_loss 0.001479, train_ic 0.032614, train_icir 0.334052, train_ric 0.025254, train_ricir 0.185874, valid_loss 0.0017525511 , valid_ic 0.001862, valid_icir 0.035183, valid_ric -0.000478, valid_ricir -0.004484, test_loss 0.003810, ic -0.004881, icir -0.084738, ric 0.001981, ricir 0.014590, prec@10 0.507819, prec@30 0.511111 
Epoch 52, train_loss 0.001461, train_ic 0.025159, train_icir 0.299740, train_ric 0.054365, train_ricir 0.383636, valid_loss 0.0014887342 , valid_ic 0.001402, valid_icir 0.042398, valid_ric 0.036497, valid_ricir 0.388559, test_loss 0.003506, ic -0.004212, icir -0.097572, ric 0.028259, ricir 0.249192, prec@10 0.486008, prec@30 0.504115 
Epoch 53, train_loss 0.001539, train_ic 0.025264, train_icir 0.296206, train_ric -0.003792, train_ricir -0.031102, valid_loss 0.0015291930 , valid_ic -0.001263, valid_icir -0.031564, valid_ric -0.021431, valid_ricir -0.295941, test_loss 0.003598, ic -0.002751, icir -0.053044, ric -0.009334, ricir -0.097175, prec@10 0.568724, prec@30 0.524966 
Epoch 54, train_loss 0.001442, train_ic 0.020771, train_icir 0.300102, train_ric 0.002295, train_ricir 0.022186, valid_loss 0.0015273612 , valid_ic -0.000043, valid_icir -0.001579, valid_ric -0.004623, valid_ricir -0.083048, test_loss 0.003500, ic -0.004869, icir -0.130747, ric -0.003725, ricir -0.062669, prec@10 0.511523, prec@30 0.518930 
Epoch 55, train_loss 0.001490, train_ic 0.033823, train_icir 0.426844, train_ric -0.001693, train_ricir -0.013847, valid_loss 0.0014601766 , valid_ic 0.004502, valid_icir 0.133367, valid_ric -0.015794, valid_ricir -0.232522, test_loss 0.003450, ic 0.001164, icir 0.025821, ric -0.002009, ricir -0.025384, prec@10 0.576132, prec@30 0.544582 
Epoch 56, train_loss 0.001455, train_ic 0.030507, train_icir 0.410363, train_ric 0.021500, train_ricir 0.192133, valid_loss 0.0014847690 , valid_ic -0.003127, valid_icir -0.080574, valid_ric -0.006327, valid_ricir -0.082190, test_loss 0.003486, ic -0.007699, icir -0.180252, ric 0.000348, ricir 0.004083, prec@10 0.637449, prec@30 0.593553 
Epoch 57, train_loss 0.001445, train_ic 0.006315, train_icir 0.081785, train_ric 0.033241, train_ricir 0.252525, valid_loss 0.0014608245 , valid_ic -0.006416, valid_icir -0.187729, valid_ric 0.023234, valid_ricir 0.288426, test_loss 0.003423, ic -0.012337, icir -0.278053, ric 0.005580, ricir 0.057649, prec@10 0.614403, prec@30 0.593690 
Epoch 58, train_loss 0.001455, train_ic 0.011317, train_icir 0.168902, train_ric 0.030326, train_ricir 0.311194, valid_loss 0.0014581208 , valid_ic -0.006167, valid_icir -0.194733, valid_ric 0.020653, valid_ricir 0.322594, test_loss 0.003357, ic -0.010590, icir -0.258443, ric 0.009028, ricir 0.134372, prec@10 0.509877, prec@30 0.530864 
Epoch 59, train_loss 0.001416, train_ic 0.022695, train_icir 0.294139, train_ric 0.030111, train_ricir 0.272372, valid_loss 0.0014714088 , valid_ic -0.002476, valid_icir -0.062158, valid_ric 0.005440, valid_ricir 0.065113, test_loss 0.003352, ic -0.007983, icir -0.152659, ric 0.000126, ricir 0.001082, prec@10 0.501235, prec@30 0.493827 
Epoch 60, train_loss 0.001464, train_ic 0.010807, train_icir 0.143590, train_ric -0.005784, train_ricir -0.051815, valid_loss 0.0013899725 , valid_ic -0.003459, valid_icir -0.104547, valid_ric -0.011339, valid_ricir -0.182113, test_loss 0.003277, ic -0.006036, icir -0.137518, ric -0.010417, ricir -0.132130, prec@10 0.551029, prec@30 0.513855 
Epoch 61, train_loss 0.001441, train_ic 0.041127, train_icir 0.483665, train_ric 0.007259, train_ricir 0.056336, valid_loss 0.0018870734 , valid_ic 0.008810, valid_icir 0.256454, valid_ric -0.013698, valid_ricir -0.178705, test_loss 0.003716, ic 0.004992, icir 0.130031, ric 0.002553, ricir 0.026986, prec@10 0.574897, prec@30 0.556516 
Epoch 62, train_loss 0.001426, train_ic 0.031949, train_icir 0.335111, train_ric 0.011114, train_ricir 0.087998, valid_loss 0.0018605801 , valid_ic 0.001443, valid_icir 0.029735, valid_ric -0.009860, valid_ricir -0.105198, test_loss 0.003676, ic -0.004206, icir -0.082549, ric -0.003709, ricir -0.031211, prec@10 0.553498, prec@30 0.569822 
Epoch 63, train_loss 0.001444, train_ic 0.013306, train_icir 0.215161, train_ric 0.016588, train_ricir 0.175804, valid_loss 0.0013566472 , valid_ic -0.000762, valid_icir -0.031811, valid_ric 0.012513, valid_ricir 0.219463, test_loss 0.003186, ic -0.004088, icir -0.114251, ric 0.005733, ricir 0.085657, prec@10 0.534979, prec@30 0.520302 
Epoch 64, train_loss 0.001413, train_ic 0.028271, train_icir 0.251281, train_ric 0.008320, train_ricir 0.061760, valid_loss 0.0017847004 , valid_ic 0.000265, valid_icir 0.004021, valid_ric -0.007460, valid_ricir -0.075614, test_loss 0.003637, ic -0.007224, icir -0.099212, ric -0.007507, ricir -0.053673, prec@10 0.676955, prec@30 0.600274 
Epoch 65, train_loss 0.001409, train_ic 0.038762, train_icir 0.429770, train_ric 0.000444, train_ricir 0.003262, valid_loss 0.0016894562 , valid_ic 0.008858, valid_icir 0.289118, valid_ric -0.009760, valid_ricir -0.113938, test_loss 0.003452, ic 0.005415, icir 0.164311, ric 0.007373, ricir 0.069829, prec@10 0.539918, prec@30 0.540604 
Epoch 66, train_loss 0.001425, train_ic 0.035685, train_icir 0.450649, train_ric 0.042507, train_ricir 0.360609, valid_loss 0.0014065190 , valid_ic 0.004481, valid_icir 0.138315, valid_ric 0.013775, valid_ricir 0.200678, test_loss 0.003180, ic -0.000477, icir -0.011418, ric 0.016454, ricir 0.200248, prec@10 0.530864, prec@30 0.521262 
Epoch 67, train_loss 0.001439, train_ic 0.040091, train_icir 0.622786, train_ric 0.034232, train_ricir 0.334304, valid_loss 0.0013649003 , valid_ic 0.002176, valid_icir 0.074523, valid_ric -0.001782, valid_ricir -0.029512, test_loss 0.003118, ic -0.002617, icir -0.067907, ric 0.004627, ricir 0.064737, prec@10 0.555556, prec@30 0.531824 
Epoch 68, train_loss 0.001379, train_ic 0.024708, train_icir 0.277906, train_ric 0.042085, train_ricir 0.315065, valid_loss 0.0015501160 , valid_ic 0.008310, valid_icir 0.215588, valid_ric 0.021867, valid_ricir 0.248559, test_loss 0.003473, ic 0.004430, icir 0.107965, ric 0.019530, ricir 0.169787, prec@10 0.517284, prec@30 0.513443 
